k_requested,k_actual,xfer_k_bytes,rep,step_idx,wall_ms,gpu_ms,gpu_ratio,nvml_gpu_util,nvml_mem_util,cls_pred,text_len
2048,,,1,18,331.8397,331.8034,0.999890,,,0,0
2048,,,1,19,341.8554,341.8170,0.999888,,,0,0
2048,,,1,20,329.9418,329.9051,0.999889,,,0,0
2048,,,1,21,334.9035,334.8656,0.999887,,,0,0
2048,,,1,22,345.6217,345.5827,0.999887,,,0,0
2048,,,1,23,339.7084,339.6661,0.999875,,,0,0
2048,,,1,24,335.6600,335.6245,0.999894,,,0,0
2048,,,1,25,335.6103,335.5698,0.999879,,,0,0
2048,,,1,26,340.4073,340.3704,0.999891,,,0,0
2048,,,1,27,336.8194,336.7834,0.999893,,,0,0
2048,,,1,28,332.5126,332.4759,0.999890,,,0,0
2048,,,1,29,341.7200,341.6839,0.999894,,,0,0
2048,,,1,30,337.3736,337.3345,0.999884,,,0,0
2048,,,1,31,358.6955,358.6490,0.999870,,,0,0
2048,,,2,16,345.2937,345.2429,0.999853,,,0,0
2048,,,2,17,348.4815,348.4466,0.999900,,,0,0
2048,,,2,18,334.1088,334.0723,0.999891,,,0,0
2048,,,2,19,342.4375,342.4020,0.999896,,,0,0
2048,,,2,20,352.0607,352.0224,0.999891,,,0,0
2048,,,2,21,368.5372,368.4961,0.999888,,,0,0
2048,,,2,22,350.9491,350.9137,0.999899,,,0,0
2048,,,2,23,362.8144,362.7765,0.999896,,,0,0
2048,,,2,24,334.8812,334.8457,0.999894,,,0,0
2048,,,2,25,356.8950,356.8593,0.999900,,,0,0
2048,,,2,26,354.3598,354.3215,0.999892,,,0,0
2048,,,2,27,347.7886,347.7507,0.999891,,,0,0
2048,,,2,28,356.0796,356.0422,0.999895,,,0,0
2048,,,2,29,366.3440,366.3043,0.999892,,,0,0
2048,,,2,30,353.6683,353.6302,0.999892,,,0,0
2048,,,2,31,362.2077,362.1717,0.999901,,,0,0
