k_requested,k_avail,k_actual,xfer_k_bytes,rep,step_idx,wall_ms,cuda_event_ms,gate_ms,decode_gpu_ms,num_new_tokens,tok_per_s,decode_ratio,nvml_gpu_util,nvml_mem_util,cls_pred,text_len
128,5577,128,1048576,0,66,1014.4374,1014.4160,430.7284,582.6019,0,0.000000,0.574310,,,1,57
128,5577,128,1048576,0,67,1180.3756,1180.3540,419.2413,759.8929,0,0.000000,0.643772,,,1,86
128,5577,128,1048576,0,68,2172.4780,2172.4607,532.0969,1638.5038,0,0.000000,0.754210,,,1,172
128,5577,128,1048576,0,69,2247.2917,2247.2725,576.5204,1668.7457,0,0.000000,0.742559,,,1,172
128,5577,128,1048576,0,70,2237.2997,2237.2830,558.0101,1677.1151,0,0.000000,0.749616,,,1,172
128,5577,128,1048576,0,71,2235.5950,2235.5784,539.7176,1693.5828,0,0.000000,0.757553,,,1,172
128,5577,128,1048576,0,72,2298.3632,2298.3481,569.3658,1726.4723,0,0.000000,0.751175,,,1,172
128,5577,128,1048576,0,73,2383.7457,2383.7288,608.9234,1772.1749,0,0.000000,0.743441,,,1,172
128,5577,128,1048576,0,74,1530.0225,1530.0029,611.9385,915.8867,0,0.000000,0.598610,,,1,86
128,5577,128,1048576,0,75,2418.0781,2418.0632,608.9587,1806.2898,0,0.000000,0.746994,,,1,172
128,5577,128,1048576,0,76,2387.5402,2387.5234,581.7825,1802.6991,0,0.000000,0.755045,,,1,172
128,5577,128,1048576,0,77,2477.6113,2477.5952,611.9776,1862.4369,0,0.000000,0.751707,,,1,172
128,5577,128,1048576,0,78,2512.5653,2512.5488,614.8172,1894.3888,0,0.000000,0.753966,,,1,172
128,5577,128,1048576,0,79,2561.9655,2561.9497,605.4421,1953.1312,0,0.000000,0.762357,,,1,172
128,5577,128,1048576,0,80,3553.7843,3553.7720,906.3282,2643.9229,0,0.000000,0.743974,,,1,172
128,5577,128,1048576,0,81,3602.5799,3602.5674,940.8624,2658.0359,0,0.000000,0.737815,,,1,172
128,5577,128,1048576,0,82,3564.5672,3564.5532,924.9099,2635.8975,0,0.000000,0.739472,,,1,172
128,5577,128,1048576,0,83,3536.6823,3536.6675,895.4409,2637.2900,0,0.000000,0.745696,,,1,172
128,5577,128,1048576,0,84,3485.5140,3485.4985,876.4687,2604.9529,0,0.000000,0.747365,,,1,172
128,5577,128,1048576,0,85,2296.9103,2296.8918,848.3314,1444.9279,0,0.000000,0.629075,,,1,86
128,5577,128,1048576,0,86,2214.6794,2214.6597,810.0595,1400.8818,0,0.000000,0.632544,,,1,86
128,5577,128,1048576,0,87,2590.2815,2590.2627,804.7110,1781.2050,0,0.000000,0.687649,,,1,172
128,5577,128,1048576,0,88,2201.8092,2201.7891,406.8924,1790.4373,0,0.000000,0.813166,,,1,172
128,5577,128,1048576,0,89,2265.1161,2265.0955,429.7682,1830.7269,0,0.000000,0.808227,,,1,172
128,5577,128,1048576,0,90,2184.7484,2184.7292,400.8892,1779.0823,0,0.000000,0.814319,,,1,172
128,5577,128,1048576,0,91,2308.3435,2308.3259,440.5082,1862.9490,0,0.000000,0.807050,,,1,172
128,5577,128,1048576,0,92,2537.0602,2537.0432,533.4724,1998.5232,0,0.000000,0.787732,,,1,172
128,5577,128,1048576,0,93,6958.0676,6958.0640,1154.7285,5798.1455,0,0.000000,0.833298,,,1,172
128,5577,128,1048576,0,94,3641.2367,3641.2195,1391.2506,2244.6235,0,0.000000,0.616445,,,1,172
128,5577,128,1048576,0,95,1479.4929,1479.4711,429.0724,1045.4928,0,0.000000,0.706656,,,1,86
128,5577,128,1048576,1,64,955.0920,955.0587,373.6428,580.6750,0,0.000000,0.607978,,,1,77
128,5577,128,1048576,1,65,1009.1453,1009.1247,427.7416,580.4036,0,0.000000,0.575144,,,1,57
128,5577,128,1048576,1,66,1180.9838,1180.9635,562.5182,617.3508,0,0.000000,0.522743,,,1,57
128,5577,128,1048576,1,67,1341.7352,1341.7145,560.7145,779.7773,0,0.000000,0.581171,,,1,86
128,5577,128,1048576,1,68,2189.5221,2189.5051,557.2341,1630.3901,0,0.000000,0.744633,,,1,172
128,5577,128,1048576,1,69,2117.8836,2117.8665,484.1642,1631.7024,0,0.000000,0.770440,,,1,172
128,5577,128,1048576,1,70,2220.8747,2220.8574,556.9498,1661.7335,0,0.000000,0.748234,,,1,172
