k_requested,k_actual,k_avail,xfer_k_bytes,xfer_k_ms,rep,step_idx,wall_ms,gpu_ms,gpu_ratio_pct,nvml_gpu_util,nvml_mem_util,cls_pred,text_len
64,64,41405,524288,0.05866400897502899,2,60,3921.8993,3921.7949,99.9973,23,13,1,36
64,64,42081,524288,0.05930289626121521,2,61,3800.0930,3799.9922,99.9973,97,81,1,36
64,64,42757,524288,0.055419281125068665,2,62,4176.8822,4176.7739,99.9974,17,10,1,36
64,64,43433,524288,0.05981139838695526,2,63,2731.7865,2731.7070,99.9971,52,38,1,36
128,128,22477,1048576,0.06454065442085266,0,32,1720.5831,1720.5028,99.9953,28,6,1,29
128,128,23153,1048576,0.0640973448753357,0,33,2304.2482,2304.1792,99.9970,75,22,1,27
128,128,23829,1048576,0.08293613791465759,0,34,2327.0634,2326.9937,99.9970,45,12,1,27
128,128,24505,1048576,0.06324611604213715,0,35,1998.5547,1998.4915,99.9968,87,71,1,27
128,128,25181,1048576,0.07110647857189178,0,36,2588.9860,2588.9136,99.9972,74,71,1,27
128,128,25857,1048576,0.07594563066959381,0,37,2832.5454,2832.4688,99.9973,59,53,1,27
128,128,26533,1048576,0.08273310959339142,0,38,2804.5141,2804.4370,99.9973,65,53,1,27
128,128,27209,1048576,0.07533468306064606,0,39,2908.2515,2908.1733,99.9973,17,7,1,27
128,128,27885,1048576,0.08157454431056976,0,40,2887.4129,2887.3335,99.9973,99,52,1,27
128,128,28561,1048576,0.06416253745555878,0,41,1857.3228,1857.2623,99.9967,29,21,1,27
128,128,29237,1048576,0.08750148117542267,0,42,3614.2491,3614.1553,99.9974,22,13,1,27
128,128,29913,1048576,0.09080395102500916,0,43,2572.2388,2572.1653,99.9971,37,26,1,27
128,128,30589,1048576,0.06796792149543762,0,44,3285.5580,3285.4749,99.9975,17,2,1,27
128,128,31265,1048576,0.10309740900993347,0,45,3221.7924,3221.7107,99.9975,19,2,1,27
128,128,31941,1048576,0.07095374166965485,0,46,3243.3296,3243.2446,99.9974,60,42,1,27
128,128,32617,1048576,0.06599724292755127,0,47,3279.2539,3279.1719,99.9975,23,13,1,27
128,128,33293,1048576,0.06546452641487122,0,48,3338.2139,3338.1321,99.9975,45,29,1,27
128,128,33969,1048576,0.06583146750926971,0,49,3384.7461,3384.6636,99.9976,40,9,1,27
